R,Z,V_R,V_PHI,V_Z,V_T,a_r,a_phi,a_z,fg_r,fg_z,fr_r,fr_phi,fr_z,f_en,prr_hist,prphi_hist,prz_hist,pphir_hist,pphiphi_hist,pphiz_hist,pzr_hist,pzphi_hist,pzz_hist,rho,xi,fm,tau_dr,tau_uv,tau_x,dv_dr,escaped
900.0,1.0,0.0,0.03333333333333333,0.00033356409519815205,0.00033356409519815205,3.6557216152989837e-10,-0.0,1.906977041265772e-09,-1.234565615001242e-06,-1.3717395722236021e-09,3.632859282040657e-10,-3.2902898477221644e-09,3.278716613489374e-09,6.887936952405065e-09,2.520050236996477e-09,-4.166078170772525e-11,7.50287146981722e-12,-4.166078170772525e-11,2.1835886563444727e-09,-1.3796311132135062e-09,7.502871469817168e-12,-1.3796311132135062e-09,2.1842956927249046e-09,200000000.0,5.1480049756363566e-18,1.3064339061059993,0.0019646374256828097,1.3752470468951112,50,5.821074442425049e-06,0.0
900.0,1.0,0.0,0.03333333333333333,0.00033356409519815205,0.03333500226663734,3.6557216152989837e-10,-0.0,1.906977041265772e-09,-1.234565615001242e-06,-1.3717395722236021e-09,8.596983762946538e-10,-7.786309955932589e-09,7.758922463310474e-09,1.6299965823824356e-08,5.963575599079818e-09,-9.858820176810961e-11,1.7755178275240333e-11,-9.858820176810961e-11,5.167355728957077e-09,-3.264829534627604e-09,1.775517827524021e-11,-3.264829534627604e-09,5.169028895961489e-09,2001281.9001663963,5.144707474952254e-16,1.3064348715064513,1.965896660204255e-05,1.349558636295506,50,5.8248126516910763e-08,0.0
900.0000000000084,1.000033356472451,8.437452505902866e-11,0.03333333250441492,0.00033356472450958894,0.033335001444057585,8.437452505902867e-10,-8.289184161957168e-09,6.293114369435614e-09,-1.2345656148486952e-06,-1.3717853284473383e-09,1.704276101355605e-09,-1.5435190391732568e-08,1.5380897097105135e-08,3.231227108307494e-08,1.1821931511663109e-08,-1.9544190266592493e-10,3.5198186398414196e-11,-1.9544190266592493e-10,1.024350577929473e-08,-6.472035443347215e-09,3.5198186398414196e-11,-6.472035443347214e-09,1.0246822691302486e-08,2001281.9493854751,5.144707348000644e-16,3.572155323703837,1.9658967085530774e-05,1.3495586363574683,50,3.132305407255565e-07,0.0
900.0000000000301,1.0000667130525889,2.1788070337277553e-10,0.03333333119148375,0.0003335658013766194,0.033335000141967774,1.3350617831374686e-09,-1.312931170488134e-08,1.0768670303620925e-08,-1.234565614696106e-06,-1.371831084818714e-09,2.1560194835598296e-09,-1.9525905071885167e-08,1.945722052968235e-08,4.087588357583321e-08,1.495508992931587e-08,-2.4724601368083136e-10,4.4528125830310306e-11,-2.4724601368083136e-10,1.2958291744037355e-08,-8.187289427229828e-09,4.4528125830310306e-11,-8.187289427229828e-09,1.2962487857943278e-08,2001282.027392097,5.14470714704457e-16,4.783884818663819,1.965896785180442e-05,1.3495586364231675,50,5.109665515145529e-07,0.0
900.0000000001212,1.0001334266113195,6.141576368224351e-10,0.03333332729220808,0.0003335691326082318,0.03333499627622138,2.427375242440508e-09,-2.3889943533913457e-08,2.071879092475809e-08,-1.234565614390781e-06,-1.371922598107772e-09,2.9560635959697107e-09,-2.676980316471204e-08,2.667563149795109e-08,5.604051683904974e-08,2.0503398258299898e-08,-3.3899100060030125e-10,6.105177801343411e-11,-3.3899100060030125e-10,1.776567305964545e-08,-1.1224688428056843e-08,6.105177801343411e-11,-1.1224688428056843e-08,1.7771426264265357e-08,2001282.2591438848,5.144706550430409e-16,6.929623998444324,1.9658970128345597e-05,1.349558636564397,50,9.514255325275977e-07,0.0
900.0000000005726,1.0002668560117118,1.6626415443175277e-09,0.0333333169716822,0.00033357812704476247,0.033334986046217006,2.810532846102897e-09,-2.7667812833961607e-08,2.4211924425598968e-08,-1.2345656137793197e-06,-1.3721056278160266e-09,3.1989390426082762e-09,-2.8965644642294365e-08,2.886373559147862e-08,6.063761353859967e-08,2.2185514092461787e-08,-3.668393520369305e-10,6.606875467654078e-11,-3.668393520369305e-10,1.9222926333179952e-08,-1.2145422010486952e-08,6.606875467654038e-11,-1.2145422010486952e-08,1.9229152274892326e-08,2001282.8726457488,5.14470497159806e-16,7.580024439053945,1.965897615488921e-05,1.3495586368663377,50,1.1061376446812242e-06,0.0
900.0000000029072,1.0005337272113757,4.03753500782177e-09,0.03333329358846409,0.00033359865132114426,0.03333496286955965,3.355595393531401e-09,-3.3044522051708253e-08,2.918328364064523e-08,-1.2345656125521683e-06,-1.37247170423314e-09,3.5223028138427304e-09,-3.1885673728941894e-08,3.177346307049537e-08,6.675109548015608e-08,2.4422670768129893e-08,-4.0391293258097487e-10,7.27491744165301e-11,-4.0391293258097487e-10,2.1160773191712114e-08,-1.3369821140202451e-08,7.27491744165301e-11,-1.3369821140202451e-08,2.1167628572597365e-08,2001284.2627395126,5.144701394663481e-16,8.444886539148994,1.965898981004038e-05,1.3495586374914605,50,1.3263506498305748e-06,0.0
900.0000000132216,1.0010675183953965,8.807174150877668e-09,0.03333324660284127,0.0003336399014294595,0.033334916299125945,3.1030306354722753e-09,-3.057707938691511e-08,2.690072185702389e-08,-1.234565610081179e-06,-1.3732039239578984e-09,3.3789456378768865e-09,-3.0572681058045725e-08,3.046503704852272e-08,6.400355854657331e-08,2.341820501584064e-08,-3.8745789071870413e-10,6.979190191704123e-11,-3.8745789071870413e-10,2.028937748379941e-08,-1.281931148691788e-08,6.979190191704123e-11,-1.281931148691788e-08,2.0295954032346025e-08,2001287.0559413393,5.144694207285587e-16,8.055789515240344,1.965901724818461e-05,1.3495586387437206,50,1.2252629458966675e-06,0.0
900.0000000550652,1.002135283668648,1.7567117164603693e-08,0.033333160209041875,0.0003337153903078705,0.03333483066529196,2.6198469338223164e-09,-2.585975021213019e-08,2.2536743646610873e-08,-1.23456560507625e-06,-1.3746686141943857e-09,3.0901986823201315e-09,-2.7932243048593724e-08,2.7833798031095855e-08,5.8477931876203515e-08,2.1397889806053535e-08,-3.5431879991858775e-10,6.383444648041348e-11,-3.5431879991858775e-10,1.8537003526803476e-08,-1.1712222959213343e-08,6.383444648041348e-11,-1.1712222959213343e-08,1.854301840426638e-08,2001292.1915760501,5.144680991116517e-16,7.273359969690743,1.9659067696485397e-05,1.3495586411910703,50,1.0320125472692223e-06,0.0
900.0000002123703,1.0042714448370635,3.2540218279752955e-08,0.033333012129961176,0.00033384350252787213,0.03333468387642783,2.059398720428234e-09,-2.0417686066229923e-08,1.750081657996744e-08,-1.2345655948458875e-06,-1.377598859321608e-09,2.729236226434194e-09,-2.462043952265236e-08,2.45334927635351e-08,5.154816500914669e-08,1.8864752053555088e-08,-3.128801181554223e-10,5.6389659215558436e-11,-3.128801181554223e-10,1.6339041147856498e-08,-1.0323666953072937e-08,5.6389659215558436e-11,-1.0323666953072939e-08,1.6344354009452594e-08,2001300.9929520262,5.144658336677785e-16,6.291865075572885,1.9659154154048595e-05,1.349558645900372,50,8.090787364855466e-07,0.0
